Year,Fossil-Fuel-Industry,Land-Use-Change,Atmospheric-Growth,Ocean-Sink
1750,,,-0.078,
1751,0.003,,-0.074,
1752,0.003,,-0.071,
1753,0.003,,-0.068,
1754,0.003,,-0.064,
1755,0.003,,-0.058,
1756,0.003,,-0.050,
1757,0.003,,-0.040,
1758,0.003,,-0.028,
1759,0.003,,-0.014,
1760,0.003,,0.002,
1761,0.003,,0.020,
1762,0.003,,0.040,
1763,0.003,,0.063,
1764,0.003,,0.087,
1765,0.003,,0.112,
1766,0.003,,0.135,
1767,0.003,,0.156,
1768,0.003,,0.174,
1769,0.003,,0.191,
1770,0.003,,0.205,
1771,0.004,,0.216,
1772,0.004,,0.226,
1773,0.004,,0.233,
1774,0.004,,0.238,
1775,0.004,,0.243,
1776,0.004,,0.248,
1777,0.004,,0.256,
1778,0.004,,0.266,
1779,0.004,,0.278,
1780,0.004,,0.292,
1781,0.005,,0.315,0.074
1782,0.005,,0.348,0.082
1783,0.005,,0.379,0.090
1784,0.005,,0.406,0.102
1785,0.005,,0.430,0.104
1786,0.005,,0.449,0.117
1787,0.005,,0.466,0.124
1788,0.005,,0.479,0.131
1789,0.005,,0.488,0.133
1790,0.005,,0.494,0.140
1791,0.006,,0.496,0.147
1792,0.006,,0.494,0.149
1793,0.006,,0.489,0.156
1794,0.006,,0.481,0.157
1795,0.006,,0.469,0.164
1796,0.006,,0.455,0.165
1797,0.007,,0.439,0.166
1798,0.007,,0.422,0.167
1799,0.007,,0.402,0.167
1800,0.008,,0.381,0.173
1801,0.008,,0.362,0.173
1802,0.010,,0.342,0.173
1803,0.009,,0.322,0.174
1804,0.009,,0.300,0.174
1805,0.009,,0.277,0.174
1806,0.010,,0.253,0.174
1807,0.010,,0.228,0.173
1808,0.010,,0.202,0.173
1809,0.010,,0.174,0.173
1810,0.010,,0.146,0.173
1811,0.011,,0.116,0.167
1812,0.011,,0.085,0.166
1813,0.011,,0.053,0.166
1814,0.011,,0.019,0.160
1815,0.012,,-0.015,0.160
1816,0.013,,-0.044,0.159
1817,0.014,,-0.068,0.158
1818,0.014,,-0.085,0.158
1819,0.014,,-0.096,0.152
1820,0.014,,-0.100,0.151
1821,0.014,,-0.098,0.151
1822,0.015,,-0.090,0.150
1823,0.016,,-0.075,0.144
1824,0.016,,-0.054,0.143
1825,0.017,,-0.027,0.142
1826,0.017,,0.006,0.142
1827,0.018,,0.043,0.141
1828,0.018,,0.068,0.140
1829,0.018,,0.088,0.135
1830,0.024,,0.106,0.135
1831,0.023,,0.122,0.134
1832,0.023,,0.137,0.134
1833,0.024,,0.149,0.134
1834,0.024,,0.160,0.134
1835,0.025,,0.179,0.134
1836,0.029,,0.205,0.134
1837,0.029,,0.237,0.135
1838,0.030,,0.274,0.136
1839,0.031,,0.316,0.137
1840,0.033,,0.361,0.133
1841,0.034,,0.409,0.139
1842,0.036,,0.455,0.140
1843,0.037,,0.480,0.141
1844,0.039,,0.479,0.143
1845,0.043,,0.456,0.144
1846,0.043,,0.421,0.150
1847,0.046,,0.377,0.151
1848,0.047,,0.323,0.157
1849,0.050,,0.259,0.158
1850,0.054,0.675,0.189,0.164
1851,0.054,0.678,0.126,0.165
1852,0.057,0.683,0.070,0.172
1853,0.059,0.688,0.010,0.173
1854,0.069,0.691,-0.039,0.174
1855,0.071,0.693,-0.063,0.181
1856,0.076,0.697,-0.063,0.182
1857,0.077,0.703,-0.053,0.189
1858,0.078,0.709,-0.036,0.196
1859,0.083,0.711,-0.014,0.198
1860,0.091,0.683,0.015,0.200
1861,0.095,0.674,0.051,0.207
1862,0.097,0.671,0.095,0.219
1863,0.104,0.669,0.146,0.226
1864,0.112,0.667,0.207,0.229
1865,0.119,0.668,0.274,0.236
1866,0.122,0.664,0.334,0.244
1867,0.130,0.662,0.385,0.252
1868,0.135,0.661,0.427,0.260
1869,0.142,0.661,0.458,0.268
1870,0.147,0.727,0.481,0.271
1871,0.156,0.756,0.495,0.279
1872,0.173,0.777,0.497,0.288
1873,0.184,0.796,0.486,0.296
1874,0.174,0.812,0.462,0.305
1875,0.188,0.827,0.431,0.313
1876,0.191,0.839,0.410,0.322
1877,0.194,0.849,0.404,0.335
1878,0.196,0.858,0.414,0.344
1879,0.210,0.864,0.437,0.353
1880,0.236,0.861,0.468,0.362
1881,0.243,0.875,0.503,0.370
1882,0.256,0.884,0.545,0.379
1883,0.272,0.895,0.591,0.387
1884,0.275,0.904,0.646,0.396
1885,0.277,0.912,0.718,0.404
1886,0.281,0.915,0.782,0.407
1887,0.295,0.919,0.821,0.415
1888,0.327,0.924,0.838,0.419
1889,0.327,0.929,0.851,0.426
1890,0.356,0.959,0.862,0.434
1891,0.372,0.986,0.860,0.436
1892,0.374,1.002,0.843,0.444
1893,0.370,1.014,0.811,0.451
1894,0.383,1.026,0.772,0.459
1895,0.406,1.037,0.726,0.462
1896,0.419,1.045,0.664,0.469
1897,0.440,1.055,0.590,0.477
1898,0.465,1.060,0.531,0.480
1899,0.507,1.063,0.496,0.488
1900,0.534,1.100,0.482,0.491
1901,0.552,1.128,0.483,0.499
1902,0.566,1.144,0.498,0.502
1903,0.617,1.160,0.525,0.511
1904,0.624,1.173,0.563,0.520
1905,0.663,1.184,0.608,0.523
1906,0.707,1.191,0.641,0.532
1907,0.784,1.201,0.668,0.541
1908,0.750,1.203,0.688,0.550
1909,0.785,1.212,0.699,0.558
1910,0.819,1.189,0.707,0.562
1911,0.836,1.183,0.724,0.570
1912,0.879,1.172,0.755,0.574
1913,0.943,1.166,0.788,0.582
1914,0.850,1.146,0.814,0.585
1915,0.838,1.136,0.834,0.594
1916,0.901,1.128,0.846,0.597
1917,0.955,1.123,0.847,0.605
1918,0.936,1.123,0.834,0.613
1919,0.806,1.123,0.808,0.616
1920,0.932,1.172,0.774,0.624
1921,0.803,1.200,0.748,0.632
1922,0.845,1.223,0.732,0.634
1923,0.970,1.234,0.725,0.642
1924,0.963,1.243,0.727,0.645
1925,0.975,1.250,0.732,0.652
1926,0.983,1.254,0.745,0.654
1927,1.062,1.259,0.760,0.656
1928,1.065,1.259,0.778,0.663
1929,1.145,1.257,0.789,0.664
1930,1.053,1.307,0.791,0.665
1931,0.940,1.343,0.790,0.667
1932,0.847,1.364,0.788,0.672
1933,0.893,1.390,0.786,0.673
1934,0.973,1.407,0.782,0.674
1935,1.027,1.423,0.774,0.674
1936,1.130,1.440,0.758,0.674
1937,1.209,1.449,0.738,0.674
1938,1.142,1.455,0.713,0.673
1939,1.192,1.456,0.671,0.673
1940,1.299,1.485,0.606,0.673
1941,1.334,1.511,0.523,0.668
1942,1.342,1.507,0.429,0.668
1943,1.391,1.501,0.334,0.669
1944,1.383,1.492,0.259,0.670
1945,1.160,1.482,0.214,0.671
1946,1.238,1.473,0.203,0.678
1947,1.392,1.463,0.215,0.681
1948,1.469,1.448,0.250,0.689
1949,1.419,1.423,0.303,0.693
1950,1.630,1.506,0.362,0.703
1951,1.767,1.557,0.418,0.712
1952,1.795,1.578,0.479,0.728
1953,1.841,1.607,0.547,0.745
1954,1.865,1.637,0.622,0.757
1955,2.042,1.662,0.699,0.770
1956,2.177,1.694,0.774,0.783
1957,2.270,1.721,0.870,0.793
1958,2.330,1.752,1.020,0.808
1959,2.454,1.774,1.175,0.834
